task_number,task_score,restarted_mid_task
1,34.3585081877,0
2,36.7486824394,0
1,23.3434715447,0
2,2.7700344400,0
3,27.3289559231,0
4,19.7547440529,1
1,25.3097940153,0
2,28.9867968723,0
1,24.6572966608,0
2,16.6255930182,0
3,8.5007059678,0
4,14.4703986142,0
5,16.1130073071,1
1,15.2266579675,0
2,45.4673931599,1
1,13.0262683149,0
2,12.2705933375,0
3,21.1522334943,0
4,19.3594589438,0
1,13.2553071654,0
2,48.1821327209,1
1,21.4942325274,0
2,34.3299707415,0
1,17.9493809687,0
2,45.6904730773,0
1,19.1235221753,0
2,17.1165888673,0
3,17.2530970225,0
4,19.1823612778,0
1,18.2576029122,0
2,1.4877887075,0
3,44.0443391227,0
4,7.4770223509,0
5,7.2804780006,1
1,19.8853675617,0
2,28.3391213325,0
3,26.6469311714,1
1,11.9171898042,0
2,0.6477714459,0
3,36.3148997954,0
4,4.4571281276,0
5,24.6804781409,0
1,18.0766200487,0
2,19.6597050343,0
3,10.1094261407,0
4,14.6180597307,0
5,16.6177339554,1
1,27.2951418395,0
2,24.8814610525,0
1,21.5881378110,0
2,25.1194126463,0
3,4.5094067784,0
4,35.9495869631,0
1,29.8827732865,0
2,10.1820214041,0
3,28.2787683001,0
1,22.6213461697,0
2,17.8593531608,0
3,21.1641137348,0
4,20.6624186039,1
1,16.4228874760,0
2,19.3635354986,0
3,30.5899887085,1
1,25.2228443599,0
2,16.2209688073,0
3,6.8674844321,0
4,4.2199806196,0
5,22.3808162212,1
1,14.4375491583,0
2,6.8686266760,0
3,42.3024763756,0
1,31.7438066606,0
1,8.7818926949,0
2,38.1368515491,1
1,11.0860855257,0
2,30.5169240498,0
3,21.4258628657,0
1,19.6750093579,0
2,9.8533629269,0
3,6.5927756878,0
4,14.7617969529,0
5,5.8328180587,0
6,17.5088981213,0
1,17.2745985097,0
2,14.1951297119,0
3,4.5492687549,0
4,13.8286937143,0
5,28.7944321632,1
1,16.4595742972,0
2,10.7432931250,0
3,30.3481407166,1
1,15.7593482830,0
2,11.9958072624,0
3,28.0647104136,0
4,18.3099121876,0
1,22.3217616282,0
2,1.7567799370,0
3,10.9176816603,0
4,24.1993645437,0
5,15.6074845791,1
1,14.7102459328,0
2,1.7290587463,0
3,19.1422659312,0
4,9.6462214257,0
5,13.5861647482,0
6,17.7788079502,0
1,9.4948650892,0
2,2.6428804578,0
3,43.0027301846,0
4,1.9490413365,0
5,17.2168221474,1
1,12.8154004234,0
2,2.8054716638,0
3,40.0591364881,0
4,19.3871549943,0
1,26.9796577697,0
2,10.3811485396,0
3,16.6085228920,1
1,32.9927067261,0
1,30.4410008628,0
1,5.0815963069,0
2,11.2047543301,0
3,46.6517164990,0
1,13.8763091690,0
2,1.4260445596,0
3,11.8561811591,0
4,7.7508113925,0
5,16.4286226604,0
6,8.8792704101,0
1,15.7115334870,0
2,3.3212886955,0
3,17.6067403100,0
4,36.9161667824,1
1,10.1110964509,0
2,0.1654207204,0
3,41.8470297634,0
4,8.7949301396,0
5,13.2326703072,1
1,24.1735187396,0
2,26.4898588657,1
1,13.3769738072,0
2,21.4429766905,0
3,27.5342731476,1
1,28.1978645080,0
2,1.3191683335,0
3,30.9860171228,0
4,2.9271355720,0
5,11.4499197006,1
1,22.6747310224,0
2,22.5235576630,1
1,22.6588102953,0
2,38.3049187660,1
1,32.8282935619,1
1,15.7501052248,0
2,15.7603817333,0
3,46.2555568462,0
4,6.7193005085,1
1,15.5109598375,0
2,14.0617301838,0
3,35.2177662849,1
1,20.4091642776,0
2,29.8546264172,1
1,22.8957495399,0
2,22.1332974616,0
3,20.7270739499,0
4,6.1307795048,1
1,1.4607605784,0
2,6.8370382869,0
3,8.6099710634,0
4,14.5185417916,0
5,12.7532358596,0
6,27.2680466559,0
1,17.6826744420,0
2,26.7895544497,0
3,19.5191030502,1
1,13.4521327450,0
2,16.0630257070,0
3,22.1109186263,0
4,17.3619589806,1
1,24.5795766153,0
2,13.6175355950,0
3,25.2152330875,1
1,16.7116543236,0
2,1.2013670286,0
3,36.6699956432,0
1,16.8845755944,0
2,8.2797856107,0
3,27.8141691328,0
4,20.5916769505,1
1,20.9569370041,0
2,30.4497992992,1
1,24.6683985797,0
2,5.1774373797,0
3,31.0881049633,1
1,20.7673233201,0
2,4.6127823337,0
3,31.3286840621,0
4,25.8354170586,0
