task_number,task_score,restarted_mid_task
1,26.4951992303,0
2,14.1984286308,1
1,25.1332620286,0
2,11.1597104073,1
1,10.4924110765,0
2,8.0541660450,0
3,31.9273288250,1
1,5.6568052967,0
2,26.7195593901,0
3,8.2720313072,1
1,13.3355024529,0
2,7.0460449043,0
3,5.4170495347,0
4,10.1741494961,0
5,19.1584010932,0
6,21.2598245144,1
1,20.3718903065,1
1,12.4191771777,0
2,9.4361562819,0
3,23.1696553230,1
1,15.7167506218,1
1,9.7171878663,0
2,17.2715311255,0
3,23.7869882584,1
1,22.8741383727,0
2,0.5683728362,0
3,28.0011763573,1
1,3.4320240477,0
2,0.9156300404,0
3,30.5974989972,0
4,16.4024546552,0
5,16.9231604387,0
6,4.5831179857,0
1,7.9555322446,0
2,14.0057079792,1
1,15.6190323830,1
1,15.8534553051,1
1,15.2228658199,1
1,17.9929698819,0
2,15.0386925975,0
3,17.6778817177,1
1,9.1910028227,0
2,18.5850953633,0
3,13.5949659975,0
4,7.4002765405,0
5,0.9026149999,0
6,8.7354104971,0
1,15.3673603535,1
1,15.8133473396,1
1,15.9066760540,1
1,16.6018517017,1
1,13.1972671679,0
2,3.5534397795,0
3,6.1634473051,0
4,2.0068436101,0
5,12.1964978203,0
6,26.4357982425,0
1,15.0498132706,1
1,15.7516572475,1
1,15.7060704231,1
1,7.7903463283,0
2,15.4729869471,0
3,27.5119364262,1
1,8.0379052467,0
2,22.4538073540,1
1,15.5385382175,1
1,11.0553629228,0
2,26.9905214310,1
1,7.4984083271,0
2,1.5907898633,0
3,6.3167109775,0
4,17.6634632808,0
5,5.0307909338,0
6,24.4846607282,0
1,15.1121384066,0
1,15.6554996852,0
1,15.8484263420,1
1,15.5848939419,1
1,15.8258385658,1
1,18.5173366070,1
1,15.9252655506,1
1,13.7841121618,0
2,16.6028459072,1
1,15.7343752384,1
1,17.6340658665,1
1,15.4917032719,1
1,16.1947810650,1
1,15.9247813225,1
1,20.3064808846,1
1,20.5077073574,1
1,20.7452423573,1
1,20.4842298031,1
1,20.4160137177,1
1,11.8515601682,0
2,23.9379286766,1
1,10.5596450207,0
2,24.2089559366,0
3,11.3871659912,0
4,9.1315384265,0
5,14.1706619140,0
6,6.6776468754,1
1,20.5176379681,1
1,18.9751296043,1
1,18.8494412899,1
1,17.4547251594,0
2,17.0905391593,0
3,22.7227120399,1
1,15.2273297310,1
1,10.3942068806,0
2,25.4043688774,1
1,17.9591460228,1
1,15.6020143032,1
1,20.4071831703,1
1,15.7433531284,1
1,15.5266849995,1
1,15.4627768993,1
1,20.7419164181,1
1,15.9319005409,0
2,6.4004825675,0
3,14.3124819825,0
4,2.7003914960,0
5,14.1320732501,0
6,22.4365452840,0
1,20.6739528179,1
1,10.6275283132,0
2,6.3097244918,0
3,23.7122962475,1
1,20.8203177452,1
1,9.0652964216,0
2,28.0179226398,1
1,11.8435513264,0
2,0.0604113780,0
3,17.9816507421,0
4,13.9007410234,0
5,31.4295194149,1
1,18.0276925024,0
2,10.6160825967,0
3,21.9141254425,1
1,15.7286100980,0
2,12.5839792134,0
3,22.2526544314,0
1,17.0021516874,0
2,19.1146974564,1
1,20.4404810180,0
1,20.5515868664,1
1,7.1073905610,0
2,4.8606419281,0
3,5.1252220068,0
4,2.8014748139,0
5,9.6977616968,0
6,11.0129387159,0
1,7.8562421849,0
2,9.6919961284,0
3,32.2429254055,1
1,16.5757229194,0
2,22.2063092779,0
3,4.5669987202,1
1,12.4970531199,0
2,27.5393872261,1
1,20.3152248859,1
1,15.2168190479,1
1,15.4935171604,1
1,16.3426938057,1
1,15.4866371155,1
1,15.5072536469,1
1,15.6819176674,1
1,12.8708808734,0
2,16.6514952828,0
3,7.3890025205,0
4,32.7464525700,1
1,15.9553756714,1
1,15.7352271080,1
1,15.9573533535,1
1,15.7794771194,1
1,16.2027153969,1
1,15.6638357518,0
1,15.8002774715,1
1,10.7129584009,0
2,13.9692888978,0
3,10.2517325796,0
4,28.9630293846,1
1,15.8135275841,1
1,14.3185569411,0
2,8.8642886763,0
3,10.8125260850,0
4,8.8577973611,0
5,28.4541943073,1
1,15.7948193550,1
1,7.1465354408,0
2,8.8031201432,0
3,25.9369287748,0
4,14.5419342581,0
5,7.5182112931,0
6,12.5278258324,1
1,11.8786109077,0
2,18.1508865376,0
3,12.8883911897,0
4,17.0460443213,0
5,14.1825027466,1
1,15.1605291367,1
1,8.8820528420,0
2,28.5255081654,1
1,15.4349398613,1
1,18.6652347070,0
2,1.7125281583,0
3,40.1252882481,1
1,6.7497543590,0
2,0.3867686739,0
3,22.9095678764,0
4,26.7849519253,1
1,8.9561378887,0
2,22.0641109943,1
1,15.9435831723,0
