task_number,task_score,restarted_mid_task
1,15.2450623512,1
1,15.8943700790,1
1,16.7073898315,1
1,12.7233527019,0
2,13.7543381837,1
1,15.9819195271,1
1,16.7601807117,1
1,18.1574370861,1
1,15.0383913517,1
1,16.3119792938,1
1,17.0638797283,1
1,16.0740437508,1
1,15.7930226326,1
1,16.2827517986,1
1,10.0743996545,0
2,11.5751495361,1
1,16.8506684303,1
1,11.2635512352,1
1,16.2976491451,1
1,16.2408370972,1
1,14.0822839737,1
1,16.4272463322,1
1,16.0875978470,1
1,16.6309139729,1
1,16.6052877903,1
1,16.4412853718,1
1,16.2941350937,1
1,15.6213726997,1
1,15.9134781361,1
1,15.8207917213,1
1,15.4778423309,1
1,16.0375742912,1
1,6.4216788473,0
2,14.6607742310,1
1,13.4741649942,0
2,12.7904720306,1
1,16.2159669399,1
1,6.4017460228,0
2,14.5976650715,1
1,15.9670994282,1
1,12.5256148502,0
2,8.7394144535,1
1,21.0182332993,1
1,16.2276999950,1
1,10.7876050560,0
2,10.1136978133,0
1,10.0784474026,0
2,13.3985731602,1
1,16.6507215500,1
1,15.9206020832,1
1,17.8647937775,1
1,16.1282315254,1
1,16.8298376771,0
1,11.0122628561,0
2,8.0262329578,1
1,13.0981335522,0
2,5.1042663454,0
3,23.0235900879,1
1,15.5373895168,1
1,13.1292897862,0
2,9.4654056061,0
3,15.5945062637,1
1,17.4760389897,0
1,13.2605490340,0
2,2.3575230549,0
3,11.7214213065,0
4,4.7207305236,0
5,21.2437224624,0
6,15.9552036755,0
1,16.9305989742,1
1,13.9740745780,0
2,8.6943755150,1
1,16.0917420387,1
1,15.8242135048,1
1,10.5071772283,0
2,10.5975408554,1
1,15.5419108745,0
2,2.8113657580,0
3,18.2798852921,1
1,16.4022445679,1
1,15.6913111210,1
1,14.7886728097,0
2,7.5354495049,1
1,15.8095271587,1
1,15.7478663921,1
1,8.7107409875,0
2,12.8773727417,1
1,15.7370431423,1
1,15.9884090424,1
1,5.3768899478,0
2,16.1241266727,1
1,15.4106583595,1
1,15.9401607513,1
1,16.5745518208,1
1,15.9362983704,1
1,15.7800078392,1
1,16.4605057240,1
1,16.5810785294,1
1,15.9409646988,1
1,15.9465579987,1
1,21.1356275082,1
1,16.2191405296,1
1,16.1710367203,1
1,14.2407302856,1
1,15.3228864670,1
1,7.5702839476,0
2,13.2322790623,1
1,15.9781665802,1
1,15.2690810335,0
1,11.8311780707,0
2,2.8136743879,0
3,5.1879162214,0
4,3.0284337572,0
5,28.2817390739,0
6,21.7360917920,0
1,16.0888323784,1
1,15.7021100521,1
1,15.7284135818,1
1,15.1001561617,0
2,5.7544169426,1
1,6.2694099295,0
2,14.5806012154,1
1,16.0347354412,1
1,14.5884336467,0
2,6.4715852737,1
1,9.0080976031,0
2,11.7673659325,1
1,15.9266889095,1
1,15.8318688869,1
1,16.1798436642,1
1,16.2498400211,1
1,15.7858915329,1
1,16.1916482449,1
1,15.9073626995,1
1,15.0360038280,1
1,15.0149514038,0
1,16.5480494499,1
1,16.4298055172,1
1,12.8018110258,0
2,12.8059029579,1
1,15.8103425503,1
1,15.8453021049,1
1,12.9348909566,0
2,7.9887621403,1
1,15.0622630119,1
1,15.7282834053,1
1,15.5424714088,1
1,15.9478669167,1
1,16.1727368832,1
1,16.4095144272,1
1,13.6030288522,0
2,7.7928357124,1
1,15.8418695927,1
1,15.8799777031,1
1,15.7939074039,1
1,12.3725126937,0
2,5.5183401626,0
3,10.9099288833,0
4,7.7647009508,0
5,28.3983925728,0
6,10.9041967392,1
1,15.9811112881,1
1,15.8181016445,1
1,9.3183265663,0
2,3.3027992550,0
3,25.9017469883,1
1,17.0487141609,1
1,8.9635531466,0
2,12.4956893921,1
1,10.7647588859,0
2,10.0396699905,1
1,15.8163907528,1
1,16.3048260212,1
1,15.7546355724,1
1,15.8677983284,1
1,8.1001821568,0
2,7.9433464611,0
3,4.3516534076,0
4,18.0540261194,0
5,10.4500986002,0
6,17.0877580257,0
1,16.0122127533,1
1,16.2721753120,1
1,15.5802655220,1
1,6.0725025197,0
2,14.7312819958,1
1,16.8694953918,1
1,15.9311227798,1
1,15.7049195766,1
1,14.8798620701,1
1,15.4675390720,1
1,13.1668624878,1
1,12.5868530273,1
1,13.6040546894,1
1,14.3392367363,1
1,5.2635749934,0
2,5.1832688873,0
3,25.5124769211,1
1,15.6363329887,1
1,14.3011214733,1
1,13.6347227097,1
1,4.5143915348,0
2,14.2006959915,1
1,19.3344017767,0
2,0.3203101295,0
3,11.5452611446,1
1,15.9675757885,1
1,14.7812753768,0
2,8.6658397209,0
3,12.3290941715,1
1,16.2501676083,1
1,15.6410365105,1
1,15.7660317421,1
1,15.8070631027,1
1,14.7683328792,0
2,1.0006490867,0
3,10.6253690100,0
4,24.3645980358,1
1,17.5783267021,1
1,7.6576938003,0
2,18.6065855026,1
1,8.5413927542,0
2,11.3697867393,1
1,15.7767562866,1
1,15.7615885735,1
1,15.9738342762,1
1,0.1242256446,0
2,27.1322815418,1
1,15.7299163342,1
1,14.9163112559,0
2,10.7985241413,1
1,15.7795888049,0
1,17.7908363342,1
1,15.8947319984,1
1,15.6532545090,1
1,9.3332887948,0
2,14.1084780693,1
1,15.8245604038,1
1,7.7766752488,0
2,7.6712036950,0
3,4.5252924906,0
4,10.5471554103,0
5,23.8146588144,0
6,21.1962096691,1
1,23.0350270271,1
1,16.0085220337,1
1,15.6490416527,1
1,15.4169905186,1
1,15.0968406200,1
1,16.2006039619,1
1,8.2017091325,0
2,9.8131286911,0
3,11.8593885899,1
1,12.1379513777,0
2,4.4688869184,0
3,9.7688846179,0
4,2.5818656782,0
5,13.5858628763,0
6,31.1217406774,0
1,16.2685654163,1
1,15.5877199173,1
1,13.1610231400,1
1,12.2447109880,0
2,10.6989541054,1
1,2.8661180179,0
2,20.2635068893,1
1,6.9904888573,0
2,3.3733328304,0
3,23.9065504074,1
1,6.6110475361,0
2,12.8827161120,0
3,15.5731666088,1
1,20.0781769753,1
1,14.4466810226,1
1,16.8104152679,1
1,16.0806198120,1
1,14.2497739124,0
2,6.7124454975,1
1,6.2073941303,0
2,14.5621848106,1
1,14.0093899206,0
2,4.3738453596,0
3,17.3646147251,1
1,12.7360047992,0
2,3.8794116935,0
3,18.9608802795,1
1,16.2052981853,1
1,16.0942747593,1
1,9.5350079538,0
2,13.3397240639,1
1,16.7409317493,1
1,16.1559913158,1
1,14.2978987971,0
1,7.2814532224,0
2,6.5262186555,0
3,12.0784816772,0
4,8.8969894286,0
5,10.3560415046,0
6,18.5027965595,0
1,15.8410599232,1
1,12.0738250263,0
2,1.7271415482,0
3,18.9245595932,1
1,16.1325645447,1
1,17.0957708359,1
1,15.7604126930,1
1,15.7042243481,1
1,16.4146957248,0
1,15.7713367939,1
1,16.5488541126,1
1,15.6685523987,1
1,15.9405591488,1
1,15.5728561878,1
1,15.6704192162,1
1,15.7992696762,1
1,14.4880930917,0
2,6.2395641887,0
3,12.7515842915,1
1,15.7645146847,1
1,15.7427666187,1
1,17.3012108803,1
1,16.0780019760,1
1,15.8513774872,1
1,16.4156999588,1
1,16.0170839364,0
1,15.7614033222,1
1,15.0975480067,0
1,10.2315958236,0
2,2.8738544863,0
3,12.4458396435,1
1,14.1342457162,0
2,10.2431974411,1
1,3.1794492139,0
2,17.9102847576,1
1,15.1999985246,0
2,0.0038337063,0
3,15.7764594555,1
1,13.5502361225,0
2,5.5533924875,0
3,14.0085239410,1
1,15.8793504238,1
1,8.7445458673,0
2,0.7906097593,0
3,24.5221953392,1
1,16.0857195854,1
1,15.9017944336,1
1,13.2939949036,1
1,12.7425691655,0
2,12.6361527443,1
1,3.6304578503,0
2,7.7392132263,0
3,24.8418188095,1
1,15.9292602539,1
1,11.3863021028,0
2,12.7158915997,1
1,13.8870608974,0
2,2.8580257251,0
3,18.2187759876,1
1,13.7913082139,0
2,1.3590537385,0
3,21.2652819157,1
1,15.9235804081,1
1,15.8370523453,1
1,11.2776115600,0
2,7.0634544283,0
3,14.9855833054,1
1,15.9934673309,1
1,15.7752120495,1
1,15.7963936329,1
1,15.9599103928,1
1,16.1227619648,1
1,9.3665421730,0
2,6.6065263163,0
3,22.2781090736,1
1,2.0562982784,0
2,7.0228851732,0
3,26.0715096481,0
4,16.1780161858,1
1,16.0193653107,1
1,9.2819745959,0
2,9.3319696833,0
3,15.4724264145,1
1,16.2092235088,1
1,0.3618178203,0
2,14.5534674690,0
3,20.9115543365,1
1,16.2305767536,1
1,16.0838184357,1
1,12.4793657838,0
2,10.7768819332,1
1,16.2891211510,1
1,10.9945469361,0
2,12.0627093315,1
1,6.4711423263,0
2,15.7843787670,1
1,14.9758951799,0
1,3.9015609406,0
2,13.9669032097,1
1,11.3276213772,0
2,11.6001470089,1
1,15.8963277340,1
1,16.1508436203,1
1,15.5375518799,1
1,16.1580033302,1
1,16.1069641113,1
1,9.7799943519,0
2,12.8177318573,1
1,8.9259948009,0
2,13.9332947731,1
1,15.5418312550,1
1,15.8248593807,1
1,9.6611221495,0
2,13.1927790642,1
1,16.1495676041,1
1,5.4227433793,0
2,16.1605139859,0
1,20.2832057476,1
1,15.9434688091,1
1,15.4537172878,0
1,6.2432115071,0
2,8.4945814302,0
3,18.6548230648,1
1,14.6180009808,0
2,8.0767127814,0
1,16.0666966438,1
1,10.6416049590,0
2,12.6249396801,1
1,13.4325132085,0
2,1.6401291710,0
3,19.3653144836,1
1,15.9095778465,1
1,6.0272179588,0
2,1.5252025492,0
3,10.0982167682,0
4,17.1284340827,0
5,26.5715987606,0
6,14.4351096153,1
1,15.8181588650,1
1,5.5338058181,0
2,17.0603492260,1
1,14.3546252943,0
2,9.4779181480,1
1,17.4060480595,1
1,16.3416481018,1
1,15.9311056137,1
1,5.4952978885,0
2,7.0203221817,0
3,20.6673059464,1
1,16.3211553097,1
1,16.5369100571,1
1,15.9661209583,1
1,16.2338168621,1
1,13.4871760255,0
2,8.8572771549,1
1,12.4429390252,0
2,1.8640499431,0
3,8.1250118566,0
4,23.5171515942,1
1,9.7132101708,0
2,2.2466847957,0
3,10.6770132678,0
4,26.7961378098,1
1,15.9989683628,1
1,13.9565913677,1
1,4.9686917472,0
2,17.7811160088,1
1,15.2542283535,1
1,14.4742333889,1
1,15.9826376438,1
1,16.1552066803,1
1,13.0095795743,0
2,10.1524472237,1
1,15.5510380268,1
1,15.7826886177,1
1,15.1610198021,1
1,13.2478789104,0
2,7.9317369461,1
1,15.2712249756,1
1,8.1655383352,0
2,1.8959770641,0
3,22.7762088776,1
1,15.8943543434,1
1,16.1343858342,0
1,15.9369378090,1
1,15.6242650343,0
1,15.8533129692,1
1,14.7319779396,1
1,16.7207315825,0
2,6.6017389297,1
1,15.7617366314,1
1,7.1460396332,0
2,15.9795556068,1
1,15.8044080734,1
1,15.8994090557,1
1,16.1777780056,1
1,16.0147511959,1
1,4.0127276180,0
2,8.2625535029,0
3,4.0184673397,0
4,1.9534730044,0
5,32.1954672104,0
6,25.3149669170,1
1,15.8389871120,1
1,15.7996644974,1
1,14.7258613225,0
2,8.4406092167,1
1,10.9234020006,0
2,12.1802952290,1
1,16.7015805244,1
1,17.1881268024,1
1,12.1845961308,0
2,2.1689063808,0
3,16.9347932339,1
1,16.2714893773,0
1,15.3017285034,0
2,7.5737922192,1
1,15.9198889732,1
1,16.2018885612,1
1,3.3396253651,0
2,15.0768740076,0
3,7.3726742303,0
4,11.0492269277,0
5,12.0514640061,0
6,26.8706717491,1
1,10.4939815473,0
2,12.3412127495,1
1,15.8865916729,1
1,11.1370996440,0
2,11.7698135376,1
1,12.9320783615,1
1,15.8629488945,1
1,13.1008856743,0
2,8.0538339615,1
1,7.8444768429,0
2,13.2086444763,0
1,15.9624874592,1
1,13.9366972446,1
1,16.0615124702,1
1,16.0921676159,1
1,15.8664407730,1
1,15.6350841522,1
1,15.7636671066,1
1,12.0258959929,0
2,11.2124147415,1
1,15.9417271614,1
1,15.9149558544,1
1,15.8640646935,1
1,15.6515729427,1
1,15.6372299194,1
1,15.4128420353,1
1,15.8034689426,1
1,16.1207041740,1
1,15.7928488255,1
1,12.8456654549,1
1,12.7110886574,1
1,12.2516083717,1
1,3.2868658022,0
2,7.9992944702,0
3,19.7595830372,0
4,15.4775605202,1
1,13.4912903309,1
1,13.3378086090,1
1,7.5397540361,0
2,14.6024057865,1
1,12.7695772648,1
1,12.8661496639,1
1,9.1234424263,0
2,13.4405021667,1
1,10.6983092974,0
2,12.1351976395,1
1,14.9903690815,1
1,12.1306736469,1
1,13.1179382801,1
1,13.1215488911,1
1,14.6355478764,1
1,13.0580770969,1
1,13.1353623564,0
1,12.1690177917,1
1,7.6896733774,0
2,14.1301131248,1
1,12.8180866241,1
1,10.6422393322,1
1,12.5331015587,1
1,13.7761623859,1
1,13.2888615131,1
1,13.5838615894,1
1,5.1740790743,0
2,13.1297693737,0
3,15.1621012688,1
1,12.8620877266,1
1,13.0229709148,1
1,12.8208854198,1
1,13.0613243580,1
1,12.9614059925,1
1,12.1531400548,0
1,13.5844058990,1
1,13.0356495380,1
1,14.3520262241,1
1,13.3289501667,1
1,15.2164570699,0
1,13.2244170762,0
2,8.2576589584,1
1,13.1548676491,1
1,8.3488588686,0
2,11.6062854220,0
3,13.3698470592,1
1,13.4759109020,1
1,13.5455317497,1
1,14.1416172981,1
1,15.0360131264,1
1,13.5463364124,1
1,14.3698568344,1
1,15.6899442673,1
1,13.8210203809,0
2,4.2257784854,0
3,14.6335279942,1
1,13.1178524494,1
1,15.8812108040,1
1,16.2046244144,1
1,10.4607376924,0
2,6.2609448040,0
3,16.7324066162,1
1,16.0192586589,0
1,15.8200063705,1
1,13.3541421890,1
1,14.8523876667,1
1,15.7110671997,1
1,14.8394522667,1
1,16.0541331768,1
1,12.0638458729,1
1,6.0275668239,0
2,17.0666813850,1
1,14.4104347899,0
2,10.4695672989,1
1,15.4122011662,1
1,15.8834481239,1
1,16.0848820210,1
1,18.1113610268,1
1,17.6845521927,1
1,16.7485846931,0
2,2.5141286507,0
3,19.2093594074,1
1,15.2330362619,0
2,8.6860063076,1
1,15.8310227394,1
1,11.9943101406,1
1,12.2557789875,0
1,14.4397358894,1
1,15.8213453293,1
1,10.0921205990,0
2,10.7292265892,1
1,14.8654890060,1
1,9.5178186893,1
1,10.8452632427,1
1,10.7837054729,1
1,11.2521042824,1
1,10.7621183395,1
1,10.3355119228,1
1,10.2262480259,1
1,9.9934322834,1
1,10.8987751007,1
1,10.8572394848,1
1,4.7333328873,0
2,3.0962636049,0
3,32.4361009598,1
1,9.6800401211,1
1,14.6592793465,1
1,11.4732427597,1
1,11.4258577824,1
1,11.6474103928,1
1,12.1919460297,1
1,13.6682124138,1
1,0.0000000000,1
1,13.5363768677,0
2,10.1460721493,1
1,5.5909366959,0
2,9.7496546334,0
3,18.3490898609,1
1,10.7048943769,0
2,9.4643081514,0
1,12.0964758641,0
2,11.6617941856,1
1,15.9645195007,1
1,12.6887660566,0
2,9.4661879539,1
1,17.4882724285,1
1,15.4340686625,0
2,7.3962206841,1
1,13.3980202796,0
2,9.3355643749,1
1,5.9535636432,0
2,11.2642215265,0
3,9.2806758425,0
4,27.4150092602,1
1,12.6785822795,0
2,6.0908516320,0
3,14.0995824337,1
1,16.0750873089,1
1,15.8535933495,1
1,15.9931325912,1
1,15.4315379252,0
1,16.1343691349,1
1,15.6036021709,1
1,20.8940055370,1
1,15.8399355412,1
1,15.4008994102,1
1,13.6713387681,1
1,19.2774868011,1
1,15.9571745396,1
1,15.9452304840,1
1,15.6609423725,0
1,11.7302608130,0
2,11.1623740196,1
1,16.2432138920,1
1,10.9469027040,0
2,10.9915338805,0
3,10.0024221271,0
4,2.8458147149,0
5,2.7810289924,0
6,25.0651954396,0
1,15.6503198147,1
1,15.9780306816,1
1,15.8229374886,1
1,15.8256933689,1
1,15.9259328842,1
1,11.0798382803,0
2,11.8752801418,1
1,12.3048083782,1
1,16.0256116390,1
1,7.4724510481,0
2,5.4765234272,0
3,23.2696251869,1
1,7.4570260228,0
2,15.6677992344,1
1,15.8403775692,1
1,16.2863588333,1
1,0.4456610267,0
2,9.3264898584,0
3,27.5258119638,0
4,29.9284587913,0
5,8.7088315487,1
1,15.7686381340,1
1,2.3962469908,0
2,20.7264032364,1
1,16.3071284294,1
1,16.0141432285,1
1,15.9944694042,1
1,1.1398138372,0
2,22.7902429104,1
1,16.1163747311,1
1,15.4311707654,0
1,16.1722848415,1
1,15.8217108250,1
1,8.9387414437,0
2,14.3670651913,1
1,17.5078468323,1
1,14.5713207722,1
1,15.0313453674,1
1,14.6505197953,0
2,5.2415525738,0
3,13.7991006374,1
1,10.6540424555,0
2,12.2416198254,1
1,11.0924700181,0
2,12.1483232975,1
1,13.1548826694,1
1,4.7459017738,0
2,2.2191953325,0
3,4.5386011296,0
4,35.1025693609,0
5,27.1281496327,0
6,2.2849538326,1
1,13.1817266332,0
2,9.8049023151,1
1,3.4117357326,0
2,19.4592504501,1
1,11.6042881856,0
2,3.9111466213,0
3,17.5046954155,1
1,16.5223580599,0
2,7.3290431499,1
1,16.4107418060,1
1,3.5984055243,0
2,19.0331676006,1
1,13.8823501627,0
2,8.3337836266,1
1,21.0862355232,1
1,15.7752635479,1
1,12.2027372235,0
2,9.6985271802,0
3,10.9997627735,1
1,15.8899612427,1
1,8.7016418528,0
2,8.0153300130,0
3,16.3974967003,1
1,14.0265799449,0
2,1.9795257453,0
3,17.0518369675,1
1,13.6638968778,0
2,2.5785999809,0
3,17.7510967255,1
1,16.0357761383,1
1,16.1847138405,1
1,17.3983733654,1
1,15.7261882850,0
1,3.6619828999,0
2,18.4810209274,1
1,16.8017256260,1
1,15.9458870888,1
1,15.7897009850,1
1,17.1275503635,1
1,16.1092629433,1
1,15.6662328243,1
1,15.6351950169,1
1,20.0675297866,0
1,15.8870480061,1
1,15.8123738766,1
1,15.7664923668,1
1,3.9054044124,0
2,0.2251633328,0
3,31.5521485806,1
1,11.9920569407,0
2,6.9323132670,0
3,14.1105923653,1
1,15.8434746265,1
1,15.4077816010,1
1,15.6733481884,1
1,15.6543688774,1
1,15.4589812615,0
2,7.2979624271,1
1,16.0747704506,1
1,15.8599677086,1
1,14.9196788917,0
2,8.1559839249,1
1,15.7638137341,1
